,ID1,ID2,Weight
220,Op8,PT1,13.0
221,Tao8,V6M,6.0
222,Tao11,Tao8,2.0
223,Op6,She5,53.0
224,Op6,Tao15,20.0
225,Op20,V21M,6.0
226,PT1,Tao8,8.0
227,PT2,She1,25.0
228,Op19,She1,15.0
229,Op33,PT2,53.0
230,Mot22,She4,20.0
231,Mot4,Mot8,2.0
232,T6M,Tao9,1.0
233,T18M,Tao12,10.0
234,She13,V19M,6.0
235,Op17,PT2,2.0
236,Op19,Op24,25.0
237,Op20,Op23,20.0
238,Op20,She1,56.0
239,Mot22,RF2,4.0
240,PT7,R6F,5.0
241,She1,V11M,25.0
242,Op27,Op9,2.0
243,T6F,T6M,4.0
244,She8,V22M,6.0
245,Op27,Op31,4.0
246,Op22,Op8,15.0
247,R14M,Tao19,3.0
248,Mot8,Tet6,9.0
249,Mot22,PT7,4.0
250,Op22,Tet1,9.0
251,Mot11,Mot17,15.0
252,Mot13,Mot14,2.0
253,She4,Tao15,12.0
254,Tao16,Tao19,2.0
255,She5,V11M,25.0
256,Op22,Op27,2.0
257,Op6,She8,24.0
258,Mot17,R14M,7.0
259,Op33,She9,34.0
260,Tao13,Tao2,1.0
261,Mot13,Mot15,5.0
262,Op33,She4,15.0
263,Op21,She9,3.0
264,Mot22,She5,56.0
265,She9,Tet1,10.0
266,Op5,She8,30.0
267,She5,Tao8,31.0
268,Mot11,Mot2,3.0
269,She1,V23M,10.0
270,M11F,Tao2,8.0
271,Mot21,Mot4,1.0
272,Op41,Tao8,5.0
273,Op8,Tet4,8.0
274,M11F,Mot16,11.0
275,Op17,Op22,5.0
276,Mot12,Mot4,1.0
277,She1,Tao15,6.0
278,Op41,She13,4.0
279,Op41,V6M,5.0
280,Mot18,Mot8,10.0
281,Mot19,Mot5,6.0
282,Mot19,Mot2,5.0
283,She13,V23M,5.0
284,Tao13,Tao5,1.0
285,M12M,Mot19,4.0
286,Op21,She3,6.0
287,Op16,Op18,26.0
288,Mot22,She8,30.0
289,Mot15,Mot18,5.0
290,Mot17,Mot21,5.0
291,Op5,She5,71.0
292,Op6,PT1,10.0
293,R14M,R6F,6.0
294,Op23,PT2,16.0
295,Op18,Op24,21.0
296,Op19,V19M,5.0
297,Op13,Op6,8.0
298,PT1,She9,20.0
299,Mot11,Mot12,4.0
300,Op6,She9,9.0
301,Tao11,Tao12,6.0
302,Op5,PT1,25.0
303,Mot12,Mot21,2.0
304,Mot22,Op23,9.0
305,Mot13,R14M,6.0
306,Op5,Tao5,11.0
307,Tao13,Tao19,1.0
308,Op19,Op21,10.0
309,Op31,Tao8,14.0
310,Op5,Tao8,25.0
311,Mot22,Tao8,25.0
312,Op19,Op33,26.0
313,Mot13,Mot18,8.0
314,T18M,Tao10,10.0
315,Op18,V19M,16.0
316,Op10,Op6,52.0
317,Op33,V11M,13.0
318,Op24,Op9,1.0
319,Op20,Op33,111.0
320,Op6,She1,18.0
321,Op23,She13,7.0
322,Tao2,Tao5,8.0
323,Mot2,Tet4,3.0
324,Op16,Op20,48.0
325,Op22,PT2,9.0
326,Op10,Op17,3.0
327,Op20,V11M,25.0
328,Mot11,Mot14,4.0
329,Op22,Op41,5.0
330,She3,She4,13.0
331,Mot15,Mot8,5.0
332,She3,She9,11.0
333,She5,She8,50.0
334,She8,V19M,27.0
335,Mot22,R14M,4.0
336,Mot15,Tet4,5.0
337,Mot11,Mot18,18.0
338,Op33,Op5,72.0
339,Mot12,Tet6,2.0
340,She4,She9,7.0
341,Op16,Op33,45.0
342,Op16,She8,21.0
343,Op31,Op8,36.0
344,Op10,Op13,8.0
345,Tet1,Tet4,8.0
346,Op21,V23M,1.0
347,PT1,She5,15.0
348,Tao11,Tao19,2.0
349,Mot22,She13,32.0
350,Op41,Op5,10.0
351,Op6,Tet4,8.0
352,Mot16,T18M,5.0
353,Tao12,Tao13,1.0
354,Op33,She5,97.0
355,Op21,Op6,6.0
356,Op18,She8,26.0
357,Op19,Op31,18.0
358,PT1,Tet1,10.0
359,Op27,PT1,4.0
360,Tao10,Tao3,5.0
361,R21F,RF7,2.0
362,Op22,Op24,19.0
363,Mot22,Op27,4.0
364,Mot1,Mot8,10.0
365,Mot17,Tet1,5.0
366,Op10,Op16,28.0
367,Op5,Tao15,6.0
368,Op19,PT1,9.0
369,Tao2,Tao3,4.0
370,Op24,She1,12.0
371,M12M,Mot5,4.0
372,RF4,Tao19,2.0
373,Tao12,Tao7,8.0
374,Op10,Op4,30.0
375,PT7,R14M,5.0
376,Mot8,Tet1,9.0
377,Op8,Tao15,17.0
378,She5,V22M,17.0
379,Mot16,T6M,7.0
380,Mot13,Mot8,15.0
381,Op41,V22M,5.0
382,Op18,Tao5,8.0
383,Op41,She9,6.0
384,M6F,Mot19,1.0
385,Op19,V6M,3.0
386,Op16,V19M,9.0
387,T18M,T6M,10.0
388,Op20,She4,15.0
389,Mot2,Mot8,5.0
390,Op16,Op19,16.0
391,Op16,She4,8.0
392,Op18,She5,43.0
393,Mot13,Mot7,2.0
394,Mot1,Tet1,3.0
395,Op4,Tao8,9.0
396,Op41,Tet1,5.0
397,Op19,She3,19.0
