,ID1,ID2,Weight
0,She1,She5,14.0
1,Op33,She1,3.0
2,PT7,R14M,2.0
3,Op4,V12M,1.0
4,RF3,RF7,1.0
5,Op12,Op5,1.0
6,Op4,She1,18.0
7,Tao4,Tao5,2.0
8,Op10,She1,1.0
9,She1,She3,1.0
10,R6F,RF7,3.0
11,Op12,Op33,1.0
12,Op10,Op31,1.0
13,Op20,Op6,2.0
14,She1,V19M,2.0
15,Op31,V11M,4.0
16,Op9,She1,3.0
17,Op10,Op9,1.0
18,Op16,Op6,1.0
19,R11F,RF3,1.0
20,PT1,She1,2.0
21,Tet4,Tet6,1.0
22,She1,V6M,4.0
23,Op33,She5,3.0
24,Op6,Op8,2.0
25,Op9,She8,2.0
26,R11F,RF7,5.0
27,PT1,PT3,2.0
28,Op23,V6M,1.0
29,Op33,V19M,2.0
30,Op20,Op4,6.0
31,Op12,She3,2.0
32,Op12,Op6,1.0
33,R14M,RF2,5.0
34,Op23,V19M,1.0
35,Op31,Op5,6.0
36,Op33,V6M,3.0
37,Op33,Op4,3.0
38,She8,V11M,2.0
39,She3,She5,4.0
40,R11F,R14M,5.0
41,PT3,Tao5,3.0
42,Op33,P1,4.0
43,She5,She9,1.0
44,Op12,Op20,1.0
45,PT3,She1,4.0
46,Op16,She5,1.0
47,Op33,Op6,2.0
48,Op23,Op4,1.0
49,Op5,Op8,5.0
50,Op31,She1,4.0
51,Mot22,Tet2,3.0
52,Op20,She8,2.0
53,PT7,R6F,1.0
54,Op12,Op31,1.0
55,Op8,PT2,2.0
56,PT3,Tao4,2.0
57,Op4,V11M,5.0
58,Op33,Tao3,3.0
59,Mot22,Tet6,1.0
60,PT2,PT4,4.0
61,Op4,She5,18.0
62,Op23,She5,1.0
63,R14M,R6F,3.0
64,Mot22,Tet1,3.0
65,Op16,She1,1.0
66,R6F,RF2,4.0
67,Op4,She3,3.0
68,Op6,She8,2.0
69,Op31,P1,4.0
70,Op20,V11M,5.0
71,Op5,PT1,1.0
72,Op31,Op4,4.0
73,Op10,V11M,1.0
74,Op8,Tao5,1.0
75,V19M,V6M,2.0
76,P1,Tao3,3.0
77,She3,She8,1.0
78,RF2,RF7,3.0
79,Op31,Op9,3.0
80,PT4,Tao5,1.0
81,R14M,RF7,4.0
82,R11F,RF2,6.0
83,Op10,She8,1.0
84,Op23,She1,1.0
85,Op16,Op4,1.0
86,Op8,PT3,1.0
87,PT7,R11F,1.0
88,R11F,R6F,4.0
89,Op6,She1,2.0
90,Op6,Tao3,2.0
91,Op20,Op33,8.0
92,She8,V12M,1.0
93,Op20,Op8,5.0
94,Op8,Tao3,3.0
95,Op12,Op8,1.0
96,Op4,She8,8.0
97,Op5,PT2,1.0
98,Op12,She9,1.0
99,Op5,Tao3,3.0
100,Op31,Op8,5.0
101,She5,V19M,2.0
102,Tet1,Tet6,1.0
103,Op20,Tao3,3.0
104,PT2,Tao5,1.0
105,Op12,Tao3,1.0
106,Op12,P1,1.0
107,She3,She9,1.0
108,PT7,RF2,2.0
109,She5,V6M,4.0
110,Op8,PT4,2.0
111,Op5,She1,1.0
112,She5,She8,6.0
113,RF2,RF3,1.0
114,Op8,P1,4.0
115,PT2,Tao4,2.0
116,Op5,PT3,1.0
117,Op4,Op9,3.0
118,Op33,Op8,5.0
119,Op33,Op5,6.0
120,Op20,She1,6.0
121,Tet2,Tet6,1.0
122,Op16,She8,1.0
123,Tao3,Tao4,1.0
124,She1,She8,9.0
125,Op5,P1,4.0
126,Op9,V11M,3.0
127,PT1,PT2,3.0
128,Op12,Op4,2.0
129,Op31,Op6,2.0
130,Op6,P1,2.0
131,Op10,Op20,1.0
132,Op10,Op4,1.0
133,Mot22,Tet4,2.0
134,Op6,She5,2.0
135,Op31,She8,2.0
136,Op4,She9,1.0
137,She1,V11M,5.0
138,Op31,Tao3,3.0
139,Op4,Op6,2.0
140,P1,PT2,1.0
141,PT2,She1,3.0
142,PT3,Tao3,1.0
143,Op12,She5,2.0
144,Op23,Op33,1.0
145,Op5,Op6,2.0
146,Op4,V19M,2.0
147,Op31,Op33,7.0
148,Tet1,Tet4,2.0
149,R6F,RF3,1.0
150,Op20,Op31,11.0
151,PT2,PT3,5.0
152,Op20,Op5,6.0
153,Tet2,Tet4,2.0
154,Op20,Op9,3.0
155,Op4,V6M,4.0
156,Op20,P1,4.0
157,Tao3,Tao5,1.0
158,PT3,PT4,2.0
159,P1,Tao4,1.0
160,Tet1,Tet2,4.0
